product_name,gender,color,sleeve_type,material,combo_item,price,no._of_sells,no._of_review,location,product_link,product_id,sku,discount,price_band,discount_band,sales_per_review
Multi Color T Shirt For Men - Comfortable,Male,Multicolor,Unknown,Unknown,Unknown,90,494,6,Dhaka,www.daraz.com.bd/products/-i391780667.html,391780667,391780667_BD-1954935650,55.0,Low,High,70.57142857142857
Bodro hobo Indispensable -Quality And Durablity -Bula jao Casual T-Shirt For Men - T Shirt For Man- Innovative Qualityful - Easy To care and Longive T Shirt,Male,Unknown,Unknown,Unknown,Unknown,90,737,12,Dhaka,www.daraz.com.bd/products/bodro-hobo-bula-jao-i390104095.html,390104095,390104095_BD-1947321519,70.0,Low,Very High,56.69230769230769
Mens New Stylish Tshirt & Short Pent Combo,Unknown,Unknown,Unknown,Unknown,Combo,398,605,43,Dhaka,www.daraz.com.bd/products/-i389255983.html,389255983,389255983_BD-1940255191,34.0,Premium,Low,13.75
Kal Thike vordo hobo New Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,Unknown,Unknown,Unknown,Unknown,Unknown,99,272,15,Dhaka,www.daraz.com.bd/products/kal-thike-i391044280.html,391044280,391044280_BD-1952491769,50.0,Low,Medium,17.0
Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men,Male,Unknown,Half Sleeve,Unknown,Unknown,97,2000,81,Dhaka,www.daraz.com.bd/products/-i334125624.html,334125624,334125624_BD-1625716529,61.0,Low,Very High,24.390243902439025
Love T-shirt For Men and women Round neck Stylish,Male,Unknown,Unknown,Unknown,Unknown,90,112,1,Dhaka,www.daraz.com.bd/products/-i391789959.html,391789959,391789959_BD-1954999144,70.0,Low,Very High,56.0
2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts,Unknown,Unknown,Unknown,Unknown,Unknown,90,174,4,Dhaka,www.daraz.com.bd/products/2024-i392382108.html,392382108,392382108_BD-1956906167,64.0,Low,Very High,34.8
2 pis combo casual Printed T Shirt For Men,Male,Unknown,Unknown,Unknown,Combo,199,244,14,Dhaka,www.daraz.com.bd/products/2-i391039668.html,391039668,391039668_BD-1952491718,43.0,High,Medium,16.266666666666666
Summer Exclusive Black Printed Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Men,Male,Black,Half Sleeve,Unknown,Combo,380,96,6,Dhaka,www.daraz.com.bd/products/-i394316531.html,394316531,394316531_BD-1962483168,42.0,Premium,Medium,13.714285714285714
Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,Unknown,Unknown,Unknown,Unknown,Unknown,90,151,6,Dhaka,www.daraz.com.bd/products/-i392383607.html,392383607,392383607_BD-1956976117,63.0,Low,Very High,21.571428571428573
Stylish Cotton Half Sleeve T-Shirt For Men,Male,Unknown,Half Sleeve,Cotton,Unknown,188,3500,241,Dhaka,www.daraz.com.bd/products/-i247191593.html,247191593,247191593_BD-1926009609,58.0,High,Very High,14.462809917355372
Complete Your Wardrobe with a Black Cotton Combo T-Shirt & Pant for Men - T-Shirt & Trouser Pant for Men - Very Comfortable and Fashionable,Male,Black,Unknown,Cotton,Combo,437,4200,384,Dhaka,www.daraz.com.bd/products/complete-your-wardrobe-with-a-black-cotton-combo-t-shirt-pant-for-men-t-shirt-trouser-pant-for-men-very-comfortable-and-fashionable-i300361313.html,300361313,300361313_BD-1334495098,27.0,Premium,Low,10.909090909090908
Summer Printed Combo T-Shirt & Pant For Men,Male,Unknown,Unknown,Unknown,Combo,335,81,6,Dhaka,www.daraz.com.bd/products/-i387650222.html,387650222,387650222_BD-1933123077,48.0,Premium,Medium,11.571428571428571
Smart Tshirt For Men - T Shirt For Man - T Shirt,Male,Unknown,Unknown,Unknown,Unknown,99,45,6,Dhaka,www.daraz.com.bd/products/-i391044172.html,391044172,391044172_BD-2078294190,50.0,Low,Medium,6.428571428571429
Black T-Shirt And 2 Quarter Pant For Men,Male,Black,Unknown,Unknown,Unknown,246,3700,184,Dhaka,www.daraz.com.bd/products/2-i346218154.html,346218154,346218154_BD-1694250523,38.0,High,Low,20.0
Love Desing Soft & Comfortable T-shirt For men new 2024,Male,Unknown,Unknown,Unknown,Unknown,90,315,6,Dhaka,www.daraz.com.bd/products/2024-i391807323.html,391807323,391807323_BD-1954989930,64.0,Low,Very High,45.0
Summer Printed Combo T-Shirt & Pant For Men,Male,Unknown,Unknown,Unknown,Combo,328,35,2,Dhaka,www.daraz.com.bd/products/-i387637905.html,387637905,387637905_BD-1933127048,50.0,Premium,Medium,11.666666666666666
Premium Quality - Stylish New T Shirt - Casual New T-shirt Fabric soft and com fortable - T Shirt For Man,Male,Unknown,Unknown,Unknown,Unknown,90,69,0,Dhaka,www.daraz.com.bd/products/-i392383165.html,392383165,392383165_BD-1956913082,64.0,Low,Very High,69.0
New summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt,Male,Unknown,Unknown,Unknown,Combo,323,49,1,Dhaka,www.daraz.com.bd/products/-i395150208.html,395150208,395150208_BD-1964916578,54.0,Premium,High,24.5
